episode_code,season,title,n_aired_episodes,friends_lines_total,friends_words_total,phoebe_lines,phoebe_words,phoebe_line_share_pct,phoebe_word_share_pct,rachel_lines,rachel_words,ross_lines,ross_words,chandler_lines,chandler_words,monica_lines,monica_words,joey_lines,joey_words
0920,9,Friends - 920 - The one with the soap opera party,1,247,2471,21,225,8.5,9.11,60,608,58,678,16,182,54,375,38,403
0921,9,Friends - The one with the fertility test,1,228,2529,38,412,16.67,16.29,37,389,47,553,34,397,29,312,43,466
0922,9,Friends - 922 - The one with the donor,1,232,2489,46,446,19.83,17.92,53,476,22,314,52,638,33,304,26,311
0923-0924,9,Friends - 923-924 - The one in Barbados,2,452,4537,43,433,9.51,9.54,65,495,89,1059,76,798,87,847,92,905
1001,10,1001 - The One After Joey And Rachel Kiss,1,305,2854,47,575,15.41,20.15,64,483,64,627,40,413,43,383,47,373
1002,10,1002 - The One Where Ross Is Fine,1,190,1984,30,301,15.79,15.17,28,210,44,639,25,265,23,192,40,377
1003,10,Friends - 1003 - The One With Ross' Tan,1,230,2172,28,295,12.17,13.58,42,480,33,270,37,317,44,435,46,375
1004,10,Friends - 1004 - The One With The Cake,1,248,2846,33,368,13.31,12.93,49,727,46,446,34,308,37,433,49,564
1005,10,Friends - 10.05 The One Where Rachel's Sister Baby-sits,1,240,2398,36,436,15.0,18.18,76,734,37,274,25,252,29,286,37,416
1006,10,Friends - 10.06 - The One With Ross' Grant,1,229,2237,29,335,12.66,14.98,42,341,54,585,35,356,30,225,39,395
1007,10,Friends - 10.07 The One With The Home Study,1,209,2308,36,522,17.22,22.62,35,355,40,409,41,339,32,410,25,273
1008,10,Friends - 10.08 The One With The Late Thanksgiving,1,324,2984,48,490,14.81,16.42,54,515,55,386,48,545,54,521,65,527
1009,10,Friends - 10.09 - The One With The Birth Mother,1,214,2318,31,278,14.49,11.99,22,315,28,297,42,488,38,430,53,510
1010,10,Friends - 10.10 - The One Where Chandler Gets Caught,1,285,2791,43,483,15.09,17.31,46,464,42,423,56,529,67,671,31,221
1011,10,Friends - 10.11 - The One Where The Stripper Cries,1,245,2115,28,265,11.43,12.53,27,275,63,584,53,398,37,304,37,289
1012,10,Friends - 10.12 - The One With Phoebe's Wedding,1,272,3143,71,923,26.1,29.37,28,269,42,372,41,447,47,605,43,527
1013,10,Friends - 10.13 - The One Where Joey Speaks French,1,281,2286,43,314,15.3,13.74,64,542,74,635,27,251,29,257,44,287
1014,10,Friends - 10.14 - The One With Princess Consuela,1,240,2362,51,411,21.25,17.4,49,431,39,451,29,260,33,299,39,510
1015,10,Friends - 10.15- The One Where Estelle Dies,1,195,2219,28,287,14.36,12.93,32,419,50,509,34,349,22,275,29,380
1016,10,Friends - 10.16 - The One With Rachel's Going Away Party,1,245,2623,30,309,12.24,11.78,44,514,46,505,42,408,54,619,29,268
1017-1018,10,Friends - 10.17-10.18 - The Last One,2,509,4450,85,762,16.7,17.12,73,819,112,792,83,682,72,612,84,783
